period,collection,year,site,id,length,sex,mic,ploidy,castrated
0,DV,2001,camp,1,,0,1,2,
0,DV,2001,camp,2,,1,0,2,
0,DV,2001,camp,8,,0,1,2,
0,DV,2001,camp,9,,0,0,2,
0,DV,2001,camp,12,,0,0,2,
0,DV,2001,camp,13,,0,1,2,
0,DV,2001,camp,15,,1,0,2,
0,DV,2001,camp,21,,0,1,2,
0,DV,2001,camp,23,,0,0,2,
0,DV,2001,camp,24,,0,1,2,
0,DV,2001,camp,25,,0,1,2,
0,DV,2001,camp,28,,0,1,2,
0,DV,2001,camp,32,,1,1,2,
0,DV,2001,camp,39,,1,0,2,
0,DV,2001,camp,40,,0,0,2,
0,DV,2001,camp,41,,1,0,2,
0,DV,2001,camp,42,,0,0,2,
0,DV,2001,camp,44,,0,0,2,
0,DV,2001,camp,46,,0,0,2,
0,DV,2001,camp,47,,0,1,2,
0,DV,2001,camp,49,,0,0,2,
0,DV,2001,camp,50,,0,1,2,
0,DV,2001,camp,53,,0,1,2,
0,DV,2001,camp,58,,0,1,2,
0,DV,2001,camp,59,,0,0,2,
0,DV,2001,camp,64,,1,1,2,
0,DV,2001,camp,66,,0,0,2,
0,DV,2001,camp,72,,1,0,2,
0,DV,2001,camp,73,,1,0,2,
0,DV,2001,camp,77,,0,0,2,
0,DV,2001,camp,78,,1,0,2,
0,DV,2001,camp,79,,0,0,2,
0,DV,2001,camp,82,,0,0,2,
0,DV,2001,camp,83,,0,0,2,
0,DV,2001,camp,85,,1,0,2,
0,DV,2001,camp,89,,0,0,2,
0,DV,2001,camp,90,,0,0,2,
0,DV,2001,camp,91,,0,0,2,
0,DV,2001,camp,95,,0,0,2,
0,DV,2001,camp,97,,0,0,2,
0,DV,2001,camp,5,,0,1,3,
0,DV,2001,camp,17,,0,1,3,
0,DV,2001,camp,18,,0,1,3,
0,DV,2001,camp,19,,0,1,3,
0,DV,2001,camp,22,,0,0,3,
0,DV,2001,camp,26,,0,1,3,
0,DV,2001,camp,27,,0,1,3,
0,DV,2001,camp,29,,0,1,3,
0,DV,2001,camp,33,,0,1,3,
0,DV,2001,camp,38,,0,1,3,
0,DV,2001,camp,43,,0,1,3,
0,DV,2001,camp,45,,0,1,3,
0,DV,2001,camp,48,,0,0,3,
0,DV,2001,camp,55,,0,0,3,
0,DV,2001,camp,56,,0,0,3,
0,DV,2001,camp,63,,0,1,3,
0,DV,2001,camp,65,,0,1,3,
0,DV,2001,camp,68,,0,1,3,
0,DV,2001,camp,69,,0,1,3,
0,DV,2001,camp,70,,0,1,3,
0,DV,2001,camp,75,,1,1,3,
0,DV,2001,camp,80,,0,1,3,
0,DV,2001,camp,87,,0,1,3,
0,DV,2001,camp,100,,0,0,3,
0,DV,2001,halfway,136,,0,1,2,
0,DV,2001,halfway,137,,0,0,2,
0,DV,2001,halfway,138,,0,1,2,
0,DV,2001,halfway,140,,0,1,2,
0,DV,2001,halfway,142,,0,0,2,
0,DV,2001,halfway,143,,1,0,2,
0,DV,2001,halfway,144,,0,1,2,
0,DV,2001,halfway,145,,0,0,2,
0,DV,2001,halfway,148,,0,1,2,
0,DV,2001,halfway,150,,1,1,2,
0,DV,2001,halfway,151,,0,1,2,
0,DV,2001,halfway,152,,0,1,2,
0,DV,2001,halfway,154,4.6,0,0,2,
0,DV,2001,halfway,155,4,0,1,2,
0,DV,2001,halfway,156,3,0,0,2,
0,DV,2001,halfway,157,4.8,0,1,2,
0,DV,2001,halfway,158,5,0,1,2,
0,DV,2001,halfway,160,3.5,1,0,2,
0,DV,2001,halfway,161,5.2,0,0,2,
0,DV,2001,halfway,162,4.6,0,0,2,
0,DV,2001,halfway,163,4.5,0,0,2,
0,DV,2001,halfway,164,4.2,0,1,2,
0,DV,2001,halfway,166,4.5,0,0,2,
0,DV,2001,halfway,167,4.5,0,1,2,
0,DV,2001,halfway,171,5,0,1,2,
0,DV,2001,halfway,172,4.5,0,1,2,
0,DV,2001,halfway,173,4.2,1,1,2,
0,DV,2001,halfway,178,4.1,0,0,2,
0,DV,2001,halfway,182,4.3,1,1,2,
0,DV,2001,halfway,184,5.1,0,1,2,
0,DV,2001,halfway,189,4,0,0,2,
0,DV,2001,halfway,190,5,0,1,2,
0,DV,2001,halfway,191,4.5,0,1,2,
0,DV,2001,halfway,192,3.6,0,1,2,
0,DV,2001,halfway,194,4.8,1,1,2,
0,DV,2001,halfway,211,4.7,0,0,2,
0,DV,2001,halfway,226,2.8,0,1,2,
0,DV,2001,halfway,231,3.7,1,0,2,
0,DV,2001,halfway,236,4.1,0,1,2,
0,DV,2001,halfway,256,4.6,0,0,2,
0,DV,2001,halfway,135,,0,1,3,
0,DV,2001,halfway,139,,0,0,3,
0,DV,2001,halfway,141,,0,1,3,
0,DV,2001,halfway,146,,0,1,3,
0,DV,2001,halfway,147,,0,1,3,
0,DV,2001,halfway,153,,0,1,3,
0,DV,2001,halfway,159,4.5,0,1,3,
0,DV,2001,halfway,168,,0,0,3,
0,DV,2001,halfway,169,3.4,0,1,3,
0,DV,2001,halfway,170,4.7,0,1,3,
0,DV,2001,halfway,174,3.7,0,1,3,
0,DV,2001,halfway,175,3.7,0,0,3,
0,DV,2001,halfway,176,4.1,0,0,3,
0,DV,2001,halfway,177,3.2,0,0,3,
0,DV,2001,halfway,179,4.6,0,1,3,
0,DV,2001,halfway,180,4.2,0,1,3,
0,DV,2001,halfway,181,4.2,0,1,3,
0,DV,2001,halfway,183,4,0,1,3,
0,DV,2001,halfway,185,4.6,0,1,3,
0,DV,2001,halfway,186,4.5,0,1,3,
0,DV,2001,halfway,187,4.3,0,1,3,
0,DV,2001,halfway,188,4.5,0,1,3,
0,DV,2001,halfway,193,4.4,0,0,3,
0,DV,2001,halfway,195,4.3,0,1,3,
0,DV,2001,halfway,196,4.2,0,1,3,
0,DV,2001,halfway,201,4.6,0,1,3,
0,DV,2001,halfway,216,4.5,0,0,3,
0,DV,2001,halfway,220,4.4,0,1,3,
0,DV,2001,halfway,222,4.1,0,1,3,
0,DV,2001,halfway,227,4.6,0,1,3,
0,DV,2001,halfway,240,5.5,0,1,3,
0,DV,2001,halfway,254,4.5,0,0,3,
0,DV,2001,swamp,262,4.5,0,0,2,
0,DV,2001,swamp,269,,0,0,2,
0,DV,2001,swamp,274,4,1,0,2,
0,DV,2001,swamp,276,3.2,0,0,2,
0,DV,2001,swamp,279,4.6,0,1,2,
0,DV,2001,swamp,302,4.2,1,1,2,
0,DV,2001,swamp,303,4.8,0,0,2,
0,DV,2001,swamp,308,5,1,1,2,
0,DV,2001,swamp,309,3.4,0,0,2,
0,DV,2001,swamp,310,4.3,1,0,2,
0,DV,2001,swamp,313,2.7,0,0,2,
0,DV,2001,swamp,314,4,0,1,2,
0,DV,2001,swamp,316,4.5,0,1,2,
0,DV,2001,swamp,317,3.4,0,0,2,
0,DV,2001,swamp,318,3.2,1,0,2,
0,DV,2001,swamp,319,3.5,1,0,2,
0,DV,2001,swamp,320,4.2,0,1,2,
0,DV,2001,swamp,321,3.9,1,1,2,
0,DV,2001,swamp,322,3.2,1,0,2,
0,DV,2001,swamp,323,3.1,1,0,2,
0,DV,2001,swamp,324,3.7,0,1,2,
0,DV,2001,swamp,325,3,1,0,2,
0,DV,2001,swamp,326,2.8,0,0,2,
0,DV,2001,swamp,328,2.6,0,0,2,
0,DV,2001,swamp,331,3.4,1,0,2,
0,DV,2001,swamp,332,3.5,0,0,2,
0,DV,2001,swamp,333,4.1,0,1,2,
0,DV,2001,swamp,334,2.9,0,1,2,
0,DV,2001,swamp,335,3.4,1,0,2,
0,DV,2001,swamp,336,3,0,0,2,
0,DV,2001,swamp,337,3.7,1,0,2,
0,DV,2001,swamp,338,2.8,0,0,2,
0,DV,2001,swamp,341,4.4,0,0,2,
0,DV,2001,swamp,342,3.6,1,0,2,
0,DV,2001,swamp,343,3.8,1,0,2,
0,DV,2001,swamp,344,4.6,0,1,2,
0,DV,2001,swamp,345,3.7,0,0,2,
0,DV,2001,swamp,346,3.6,0,0,2,
0,DV,2001,swamp,347,4,1,1,2,
0,DV,2001,swamp,348,3.6,1,0,2,
0,DV,2001,swamp,349,3.2,1,0,2,
0,DV,2001,swamp,350,2.9,0,1,2,
0,DV,2001,swamp,351,3.9,1,0,2,
0,DV,2001,swamp,352,2.6,0,0,2,
0,DV,2001,swamp,353,3.5,1,0,2,
0,DV,2001,swamp,354,2.9,1,0,2,
0,DV,2001,swamp,355,4.7,0,1,2,
0,DV,2001,swamp,356,4.2,0,1,2,
0,DV,2001,swamp,357,5.2,0,1,2,
0,DV,2001,swamp,358,3.6,0,1,2,
0,DV,2001,swamp,359,4.2,0,1,2,
0,DV,2001,swamp,360,4.7,0,1,2,
0,DV,2001,swamp,361,3,0,0,2,
0,DV,2001,swamp,362,4.7,1,1,2,
0,DV,2001,swamp,363,4.9,0,1,2,
0,DV,2001,swamp,364,5.2,0,1,2,
0,DV,2001,swamp,365,4.1,1,1,2,
0,DV,2001,swamp,366,4,1,0,2,
0,DV,2001,swamp,371,4,0,0,2,
0,DV,2001,swamp,372,4.4,1,1,2,
0,DV,2001,swamp,373,4.5,1,1,2,
0,DV,2001,swamp,374,4.7,0,1,2,
0,DV,2001,swamp,376,3,1,0,2,
0,DV,2001,swamp,377,4.3,1,1,2,
0,DV,2001,swamp,380,3.5,1,0,2,
0,DV,2001,swamp,381,4.9,0,0,2,
0,DV,2001,swamp,386,3.6,1,0,2,
0,DV,2001,swamp,387,4.2,1,1,2,
0,DV,2001,swamp,389,4.5,0,0,2,
0,DV,2001,swamp,390,4.2,0,0,2,
0,DV,2001,swamp,391,4.3,0,1,2,
0,DV,2001,swamp,392,4.3,0,1,2,
0,DV,2001,swamp,395,4.5,0,0,2,
0,DV,2001,swamp,396,4.2,1,1,2,
0,DV,2001,swamp,397,3.2,1,0,2,
0,DV,2001,swamp,268,4.5,0,1,3,
0,DV,2001,swamp,300,4.7,0,1,3,
0,DV,2001,swamp,301,4.3,0,1,3,
0,DV,2001,swamp,304,5,0,1,3,
0,DV,2001,swamp,305,4,0,0,3,
0,DV,2001,swamp,306,4.4,0,1,3,
0,DV,2001,swamp,307,4.6,0,1,3,
0,DV,2001,swamp,311,4.6,0,0,3,
0,DV,2001,swamp,312,4.6,0,1,3,
0,DV,2001,swamp,315,4.5,0,0,3,
0,DV,2001,swamp,327,4.6,0,1,3,
0,DV,2001,swamp,329,4.5,0,0,3,
0,DV,2001,swamp,330,4.3,0,1,3,
0,DV,2001,swamp,339,3.3,0,0,3,
0,DV,2001,swamp,368,3.5,0,0,3,
0,DV,2001,swamp,369,4.6,0,0,3,
0,DV,2001,swamp,370,3.9,0,0,3,
0,DV,2001,swamp,375,2.5,0,1,3,
0,DV,2001,swamp,378,4.5,0,0,3,
0,DV,2001,swamp,379,4.9,0,1,3,
0,DV,2001,swamp,382,4.9,0,1,3,
0,DV,2001,swamp,383,5.2,0,1,3,
0,DV,2001,swamp,384,4.6,0,1,3,
0,DV,2001,swamp,385,3.3,0,1,3,
0,DV,2001,swamp,394,3.6,0,0,3,
0,DV,2001,swamp,398,4.5,0,0,3,
0,DV,2001,swamp,399,4.2,0,0,3,
0,DV,2001,swamp,400,3.7,0,0,3,
0,DV,2001,wpoint,401,3.2,1,0,2,
0,DV,2001,wpoint,402,3.7,1,0,2,
0,DV,2001,wpoint,404,4.4,0,1,2,
0,DV,2001,wpoint,405,3.9,0,1,2,
0,DV,2001,wpoint,406,4.9,0,1,2,
0,DV,2001,wpoint,409,4,1,0,2,
0,DV,2001,wpoint,410,3.1,0,1,2,
0,DV,2001,wpoint,411,3.4,1,0,2,
0,DV,2001,wpoint,412,3.4,1,0,2,
0,DV,2001,wpoint,413,3.1,0,0,2,
0,DV,2001,wpoint,414,3.2,0,0,2,
0,DV,2001,wpoint,415,3.2,0,0,2,
0,DV,2001,wpoint,416,3.7,0,0,2,
0,DV,2001,wpoint,417,3.6,1,0,2,
0,DV,2001,wpoint,418,3.5,0,0,2,
0,DV,2001,wpoint,421,3,0,0,2,
0,DV,2001,wpoint,422,4.2,1,0,2,
0,DV,2001,wpoint,424,3,0,0,2,
0,DV,2001,wpoint,426,4.2,1,0,2,
0,DV,2001,wpoint,427,3.9,1,0,2,
0,DV,2001,wpoint,429,4.2,1,0,2,
0,DV,2001,wpoint,432,3.2,1,1,2,
0,DV,2001,wpoint,433,4,1,0,2,
0,DV,2001,wpoint,434,3,0,0,2,
0,DV,2001,wpoint,435,2.5,0,0,2,
0,DV,2001,wpoint,437,4.6,0,0,2,
0,DV,2001,wpoint,439,3.4,1,0,2,
0,DV,2001,wpoint,440,2.8,0,0,2,
0,DV,2001,wpoint,441,3.4,0,0,2,
0,DV,2001,wpoint,443,3.6,1,0,2,
0,DV,2001,wpoint,444,3.3,1,0,2,
0,DV,2001,wpoint,445,4,1,0,2,
0,DV,2001,wpoint,447,3.2,0,0,2,
0,DV,2001,wpoint,448,3.7,0,0,2,
0,DV,2001,wpoint,449,3.5,0,0,2,
0,DV,2001,wpoint,450,2.7,0,0,2,
0,DV,2001,wpoint,451,4.5,0,1,2,
0,DV,2001,wpoint,457,4.4,0,1,2,
0,DV,2001,wpoint,458,4.7,0,0,2,
0,DV,2001,wpoint,460,4.6,0,1,2,
0,DV,2001,wpoint,461,4.5,0,1,2,
0,DV,2001,wpoint,464,3.2,1,0,2,
0,DV,2001,wpoint,469,3.3,1,0,2,
0,DV,2001,wpoint,471,4.7,0,0,2,
0,DV,2001,wpoint,473,4,0,0,2,
0,DV,2001,wpoint,475,2.8,0,0,2,
0,DV,2001,wpoint,477,4,0,0,2,
0,DV,2001,wpoint,478,3.1,0,1,2,
0,DV,2001,wpoint,480,2.8,1,0,2,
0,DV,2001,wpoint,481,3.6,1,0,2,
0,DV,2001,wpoint,482,3.1,0,0,2,
0,DV,2001,wpoint,483,2.8,1,0,2,
0,DV,2001,wpoint,485,2.9,1,0,2,
0,DV,2001,wpoint,486,4.4,0,0,2,
0,DV,2001,wpoint,487,4.4,0,1,2,
0,DV,2001,wpoint,489,3.6,1,0,2,
0,DV,2001,wpoint,490,3.5,1,0,2,
0,DV,2001,wpoint,492,4,1,1,2,
0,DV,2001,wpoint,494,3.6,1,1,2,
0,DV,2001,wpoint,498,2.9,0,0,2,
0,DV,2001,wpoint,499,3,1,0,2,
0,DV,2001,wpoint,500,2.8,0,0,2,
0,DV,2001,wpoint,446,4.1,0,1,3,
0,DV,2001,wpoint,491,3.8,1,0,3,
0,DV,2001,wpoint,493,4.3,0,1,3,
0,DV,2002,camp,504,3.4,0,0,2,
0,DV,2002,camp,506,4.3,1,0,2,
0,DV,2002,camp,509,3.7,1,0,2,
0,DV,2002,camp,522,4.2,0,0,2,
0,DV,2002,camp,536,3.7,0,0,2,
0,DV,2002,camp,537,3.6,1,0,2,
0,DV,2002,camp,540,4.3,0,0,2,
0,DV,2002,camp,543,3.9,0,0,2,
0,DV,2002,camp,547,4.3,1,0,2,
0,DV,2002,camp,548,4.8,0,1,2,
0,DV,2002,camp,550,3.8,0,0,2,
0,DV,2002,camp,557,3.5,0,0,2,
0,DV,2002,camp,559,3.9,1,0,2,
0,DV,2002,camp,563,4.1,1,0,2,
0,DV,2002,camp,564,4.1,1,0,2,
0,DV,2002,camp,566,4,0,0,2,
0,DV,2002,camp,567,5.1,0,0,2,
0,DV,2002,camp,568,3.9,1,0,2,
0,DV,2002,camp,569,4.2,0,0,2,
0,DV,2002,camp,573,5,0,1,2,
0,DV,2002,camp,576,3,0,1,2,
0,DV,2002,camp,582,3.8,1,1,2,
0,DV,2002,camp,590,3.1,0,0,2,
0,DV,2002,camp,592,4,0,1,2,
0,DV,2002,camp,607,4.4,0,1,2,
0,DV,2002,camp,610,4.3,1,1,2,
0,DV,2002,camp,614,4.3,1,0,2,
0,DV,2002,camp,625,4.6,0,1,2,
0,DV,2002,camp,638,4,1,0,2,
0,DV,2002,camp,641,3.4,0,0,2,
0,DV,2002,camp,645,4.3,1,0,2,
0,DV,2002,camp,650,3.6,0,0,2,
0,DV,2002,camp,503,4.7,0,1,3,
0,DV,2002,camp,507,4.5,0,0,3,
0,DV,2002,camp,512,5.4,0,1,3,
0,DV,2002,camp,513,4.6,0,1,3,
0,DV,2002,camp,515,5.1,0,1,3,
0,DV,2002,camp,519,5.2,0,1,3,
0,DV,2002,camp,520,3.4,0,0,3,
0,DV,2002,camp,526,4.2,0,1,3,
0,DV,2002,camp,527,4,0,1,3,
0,DV,2002,camp,528,4.6,0,1,3,
0,DV,2002,camp,531,3.6,0,0,3,
0,DV,2002,camp,533,4,0,0,3,
0,DV,2002,camp,534,4.3,0,1,3,
0,DV,2002,camp,538,5,0,0,3,
0,DV,2002,camp,539,3.7,0,1,3,
0,DV,2002,camp,541,4,0,0,3,
0,DV,2002,camp,546,4.9,0,1,3,
0,DV,2002,camp,549,5.2,0,1,3,
0,DV,2002,camp,552,5.4,0,1,3,
0,DV,2002,camp,555,5.4,0,0,3,
0,DV,2002,camp,558,3.7,0,0,3,
0,DV,2002,camp,560,5,0,0,3,
0,DV,2002,camp,561,4.1,0,0,3,
0,DV,2002,camp,565,4.5,0,1,3,
0,DV,2002,camp,571,4.2,0,0,3,
0,DV,2002,camp,572,4.3,0,0,3,
0,DV,2002,camp,589,4.9,0,1,3,
0,DV,2002,camp,602,5,0,1,3,
0,DV,2002,camp,612,4.5,0,1,3,
0,DV,2002,camp,617,3,0,0,3,
0,DV,2002,camp,621,2.7,0,1,3,
0,DV,2002,camp,631,4.6,0,1,3,
0,DV,2002,camp,635,4.4,1,1,3,
0,DV,2002,camp,639,5,0,0,3,
0,DV,2002,camp,647,4,0,0,3,
0,DV,2002,halfway,153,4.9,0,1,2,
0,DV,2002,halfway,155,3.3,0,1,2,
0,DV,2002,halfway,156,4.2,1,1,2,
0,DV,2002,halfway,161,3.9,1,1,2,
0,DV,2002,halfway,165,4.2,1,1,2,
0,DV,2002,halfway,166,3.9,1,0,2,
0,DV,2002,halfway,170,2.7,0,0,2,
0,DV,2002,halfway,173,4,0,0,2,
0,DV,2002,halfway,174,3.9,1,0,2,
0,DV,2002,halfway,178,3.3,0,0,2,
0,DV,2002,halfway,181,4.2,1,1,2,
0,DV,2002,halfway,184,2.9,0,0,2,
0,DV,2002,halfway,186,5.5,0,1,2,
0,DV,2002,halfway,192,4.6,0,1,2,
0,DV,2002,halfway,196,5.5,0,0,2,
0,DV,2002,halfway,197,4.7,0,0,2,
0,DV,2002,halfway,217,4.6,0,0,2,
0,DV,2002,halfway,221,4.8,0,0,2,
0,DV,2002,halfway,223,5.5,0,1,2,
0,DV,2002,halfway,226,4.7,0,1,2,
0,DV,2002,halfway,229,3.4,0,0,2,
0,DV,2002,halfway,230,4.4,1,1,2,
0,DV,2002,halfway,232,4.5,0,0,2,
0,DV,2002,halfway,238,3.8,0,0,2,
0,DV,2002,halfway,241,4.5,0,0,2,
0,DV,2002,halfway,242,4.2,0,1,2,
0,DV,2002,halfway,256,5,0,0,2,
0,DV,2002,halfway,258,4.5,0,1,2,
0,DV,2002,halfway,260,3.7,1,0,2,
0,DV,2002,halfway,261,4,0,1,2,
0,DV,2002,halfway,270,4.6,0,1,2,
0,DV,2002,halfway,271,2.8,0,0,2,
0,DV,2002,halfway,274,3.6,0,0,2,
0,DV,2002,halfway,275,4.1,0,1,2,
0,DV,2002,halfway,280,4.6,0,0,2,
0,DV,2002,halfway,286,5,0,1,2,
0,DV,2002,halfway,154,3,0,1,3,
0,DV,2002,halfway,157,5,0,0,3,
0,DV,2002,halfway,158,5,0,0,3,
0,DV,2002,halfway,164,4.6,0,1,3,
0,DV,2002,halfway,168,5.1,0,1,3,
0,DV,2002,halfway,169,4.8,0,0,3,
0,DV,2002,halfway,172,3.5,0,1,3,
0,DV,2002,halfway,177,4.8,0,0,3,
0,DV,2002,halfway,179,4,0,0,3,
0,DV,2002,halfway,180,4.1,0,1,3,
0,DV,2002,halfway,183,2.9,0,0,3,
0,DV,2002,halfway,188,4.7,0,0,3,
0,DV,2002,halfway,194,4.8,0,1,3,
0,DV,2002,halfway,195,4.4,0,1,3,
0,DV,2002,halfway,199,4.2,0,1,3,
0,DV,2002,halfway,201,4.5,0,1,3,
0,DV,2002,halfway,202,4.2,0,0,3,
0,DV,2002,halfway,203,4.5,0,1,3,
0,DV,2002,halfway,209,4.6,0,1,3,
0,DV,2002,halfway,214,4.2,0,1,3,
0,DV,2002,halfway,224,4,0,0,3,
0,DV,2002,halfway,227,4.3,0,1,3,
0,DV,2002,halfway,235,3.4,0,0,3,
0,DV,2002,halfway,237,3,0,1,3,
0,DV,2002,halfway,243,3.2,0,0,3,
0,DV,2002,halfway,244,2.8,0,1,3,
0,DV,2002,halfway,245,4.8,0,1,3,
0,DV,2002,halfway,246,4,0,1,3,
0,DV,2002,halfway,259,4.4,0,1,3,
0,DV,2002,halfway,269,4.7,0,1,3,
0,DV,2002,halfway,272,3.6,0,0,3,
0,DV,2002,halfway,281,4.3,0,0,3,
0,DV,2002,halfway,282,4.2,0,1,3,
0,DV,2002,halfway,284,3.3,0,0,3,
0,DV,2002,swamp,2,3.9,0,1,2,
0,DV,2002,swamp,3,5,0,1,2,
0,DV,2002,swamp,4,3.7,1,0,2,
0,DV,2002,swamp,5,3.7,0,0,2,
0,DV,2002,swamp,6,3.4,0,0,2,
0,DV,2002,swamp,7,4.7,0,0,2,
0,DV,2002,swamp,8,5.1,0,1,2,
0,DV,2002,swamp,9,3.1,0,0,2,
0,DV,2002,swamp,10,4.1,1,0,2,
0,DV,2002,swamp,11,2.5,0,0,2,
0,DV,2002,swamp,12,4.4,0,1,2,
0,DV,2002,swamp,15,4.2,0,0,2,
0,DV,2002,swamp,16,4.2,0,0,2,
0,DV,2002,swamp,18,4.5,0,0,2,
0,DV,2002,swamp,19,2.9,0,0,2,
0,DV,2002,swamp,21,5.5,0,1,2,
0,DV,2002,swamp,22,5.1,0,1,2,
0,DV,2002,swamp,23,5.2,0,1,2,
0,DV,2002,swamp,24,4,0,0,2,
0,DV,2002,swamp,25,4.4,0,1,2,
0,DV,2002,swamp,27,4.2,1,0,2,
0,DV,2002,swamp,28,4.2,0,0,2,
0,DV,2002,swamp,29,4.5,0,0,2,
0,DV,2002,swamp,30,4.2,0,0,2,
0,DV,2002,swamp,31,4.5,0,1,2,
0,DV,2002,swamp,35,3.5,0,0,2,
0,DV,2002,swamp,37,3.9,1,0,2,
0,DV,2002,swamp,38,4.7,0,0,2,
0,DV,2002,swamp,39,4.6,0,0,2,
0,DV,2002,swamp,40,4.5,0,0,2,
0,DV,2002,swamp,41,2.5,0,0,2,
0,DV,2002,swamp,42,3.6,0,0,2,
0,DV,2002,swamp,43,4.5,0,0,2,
0,DV,2002,swamp,45,4.1,0,0,2,
0,DV,2002,swamp,49,4.5,0,0,2,
0,DV,2002,swamp,52,3.5,0,0,2,
0,DV,2002,swamp,53,3.6,0,0,2,
0,DV,2002,swamp,56,4.2,0,1,2,
0,DV,2002,swamp,57,4.8,0,0,2,
0,DV,2002,swamp,59,4.6,0,0,2,
0,DV,2002,swamp,60,4.2,0,0,2,
0,DV,2002,swamp,63,3.5,0,0,2,
0,DV,2002,swamp,64,3.1,0,1,2,
0,DV,2002,swamp,65,3.2,0,0,2,
0,DV,2002,swamp,66,3.2,0,0,2,
0,DV,2002,swamp,69,3.7,1,0,2,
0,DV,2002,swamp,70,3.3,0,0,2,
0,DV,2002,swamp,71,3.7,0,0,2,
0,DV,2002,swamp,72,4,0,0,2,
0,DV,2002,swamp,73,3.8,0,0,2,
0,DV,2002,swamp,74,3.6,0,0,2,
0,DV,2002,swamp,76,2.6,0,0,2,
0,DV,2002,swamp,77,5,0,0,2,
0,DV,2002,swamp,79,3.5,1,0,2,
0,DV,2002,swamp,80,4.9,0,0,2,
0,DV,2002,swamp,1,3.9,0,0,3,
0,DV,2002,swamp,13,4.2,1,0,3,
0,DV,2002,swamp,17,4,0,0,3,
0,DV,2002,swamp,20,4.1,0,0,3,
0,DV,2002,swamp,26,3.3,0,1,3,
0,DV,2002,swamp,32,3.9,0,0,3,
0,DV,2002,swamp,34,3.7,0,0,3,
0,DV,2002,swamp,36,4.3,0,1,3,
0,DV,2002,swamp,44,3.8,0,0,3,
0,DV,2002,swamp,46,3.6,0,1,3,
0,DV,2002,swamp,47,4.1,0,0,3,
0,DV,2002,swamp,48,3.8,0,0,3,
0,DV,2002,swamp,50,4.2,0,1,3,
0,DV,2002,swamp,51,4.4,0,1,3,
0,DV,2002,swamp,54,3.1,0,0,3,
0,DV,2002,swamp,55,3.7,0,0,3,
0,DV,2002,swamp,58,3.6,0,1,3,
0,DV,2002,swamp,61,4.2,0,1,3,
0,DV,2002,swamp,62,4.3,0,1,3,
0,DV,2002,swamp,67,3.7,0,0,3,
0,DV,2002,swamp,75,3.3,0,0,3,
0,DV,2002,swamp,78,3.5,0,0,3,
0,DV,2002,wpoint,351,4.3,0,1,2,
0,DV,2002,wpoint,354,4.3,1,0,2,
0,DV,2002,wpoint,355,4.3,0,0,2,
0,DV,2002,wpoint,356,3.2,0,0,2,
